Time,CasingPressure,FlowRate,LinePressure,StaticPressure,TubingPressure,Qmin
1443115121,541.167,957.872,283.443,264.981,261.634,104.872
1443115301,541.442,913.551,282.986,264.756,261.543,105.551
1443115481,541.35,923.635,282.529,264.117,261.451,105.635
1443115659,541.625,938.264,281.707,265.106,261.268,105.264
1443115838,541.808,947.258,281.616,264.43,260.993,105.258
1443116018,541.625,966.761,272.204,264.161,260.718,105.761
1443116197,541.808,899.411,272.57,264.148,260.627,105.411
1443116381,542.083,933.927,272.204,263.954,260.168,104.927
1443116561,542.357,937.712,271.747,264.133,259.894,105.712
1443116756,542.449,956.082,271.29,263.513,259.436,105.082
1443116919,542.357,946.243,270.559,263.896,258.886,105.243
1443117098,542.632,918.832,271.108,263.722,258.794,105.832
1443117277,542.815,868.801,270.925,263.984,258.245,105.801
1443117462,543.09,882.668,270.651,263.407,258.886,105.668
1443117641,543.365,902.48,271.473,263.755,258.245,105.48
1443117820,543.64,890.415,270.559,263.395,257.695,105.415
1443118000,543.823,937.25,271.656,263.115,257.878,105.25
1443118178,544.097,933.217,271.199,263.386,257.237,105.217
1443118358,544.372,940.113,272.478,262.698,256.687,105.113
1443118542,544.647,898.114,270.011,263.49,256.229,105.114
1443118721,544.922,941.298,270.742,262.683,255.955,105.298
1443119081,545.105,947.06,273.575,263.245,256.229,105.06
1443119259,545.38,937.226,272.113,262.8,255.68,105.226
1443119439,545.654,954.631,270.377,262.286,256.046,105.631
1443119617,545.563,928.647,270.194,262.491,255.955,105.647
1443119802,545.654,899.531,273.483,263.101,255.497,105.531
1443119980,545.929,973.947,273.94,263.206,255.405,104.947
1443120160,546.112,934.975,270.833,262.688,255.13,104.975
1443120339,546.295,908.685,270.742,261.923,254.764,105.685
1443120518,546.479,920.936,273.483,262.385,254.397,104.936
1443120697,546.387,945.672,278.783,262.877,254.122,105.672
1443120877,546.662,957.799,280.793,262.699,254.214,105.799
1443121061,546.937,913.539,274.305,262.779,254.031,105.539
1443121240,546.662,911.827,272.204,262.264,253.756,105.827
1443121419,546.937,904.805,271.838,262.729,253.39,105.805
1443121598,547.12,924.854,271.382,261.63,253.206,104.854
1443121777,547.211,966.207,274.488,262.354,253.023,105.207
1443121963,547.12,902.576,273.483,262.078,252.748,105.576
1443122142,547.394,937.437,273.94,262.193,252.473,105.437
1443122320,547.669,969.398,273.483,261.793,252.382,105.398
1443122500,547.761,939.791,273.757,261.252,252.748,105.791
1443122679,547.669,900.618,272.478,261.446,252.199,105.618
1443122858,548.035,918.547,271.473,262.193,251.924,105.547
1443123037,548.219,903.985,271.382,261.69,251.741,104.985
1443123223,548.494,952.662,271.29,261.78,251.191,105.662
1443123401,548.768,948.576,271.564,260.932,251.283,105.576
1443123580,548.951,953.154,272.478,261.204,250.916,105.154
1443123759,549.043,948.763,272.204,261.6,251.008,105.763
1443123938,549.226,867.795,270.742,261.358,250.458,105.795
1443124118,549.501,940.09,271.199,275.9,250.733,105.09
1443124661,549.684,929.095,271.473,276.506,250.366,105.095
1443124839,550.05,906.776,272.478,276.898,249.725,105.776
1443125019,550.234,944.173,272.204,277.652,249.45,105.173
1443125198,550.508,888.974,271.473,278.172,249.267,104.974
1443125377,550.783,873.783,271.199,278.62,248.992,105.783
1443125561,551.058,907.674,271.108,279.102,248.809,105.674
1443125740,550.783,880.668,271.473,279.991,248.718,105.668
1443125920,551.058,903.284,271.29,279.987,248.992,105.284
1443126099,551.332,946.05,271.108,280.88,248.626,105.05
1443126278,551.241,902.909,270.559,281.81,248.443,104.909
1443126457,551.332,894.402,270.468,282.701,248.168,105.402
1443126641,551.516,970.41,270.833,283.081,247.985,105.41
1443126821,551.79,943.37,271.473,283.42,247.71,105.37
1443127000,552.065,882.643,272.661,284.093,247.527,105.643
1443127180,551.79,981.921,274.123,285.104,247.16,104.921
1443127359,552.065,944.894,275.037,285.015,228.564,104.894
1443127550,552.34,973.92,275.767,286.063,228.014,104.92
1443127722,552.523,926.998,276.498,285.954,227.739,104.998
1443127901,552.798,896.546,277.504,285.699,227.19,105.546
1443128080,553.073,969.03,278.235,285.653,226.731,105.03
1443128262,553.347,903.104,279.331,285.688,227.006,105.104
1443128618,553.53,906.982,279.514,285.725,226.457,104.982
1443128797,553.805,908.838,280.519,285.535,226.731,105.838
1443128982,554.08,882.869,281.798,285.015,227.006,104.869
1443129160,554.355,982.737,282.346,285.165,226.731,105.737
1443129341,554.538,883.569,283.26,285.024,226.915,105.569
1443129520,554.813,900.724,283.717,284.253,226.731,105.724
1443129698,555.087,897.533,284.722,283.749,226.548,105.533
1443129878,555.362,894.066,285.727,282.837,225.999,105.066
1443130056,555.545,945.801,286.55,282.593,225.449,105.801
1443130241,555.82,886.244,287.555,281.933,225.174,105.244
1443130420,556.095,872.81,288.286,281.944,225.082,105.81
1443130599,556.37,946.057,289.565,281.166,224.716,105.057
1443130779,556.553,910.256,289.748,280.612,224.808,105.256
